지점,지점명,일시,평균기온(°C)
108,서울,1932-08,25.6
108,서울,1932-09,20.2
108,서울,1932-10,12.2
108,서울,1932-11,5.8
108,서울,1932-12,.6
108,서울,1933-01,-6.4
108,서울,1933-02,-3.7
108,서울,1933-03,.6
108,서울,1933-04,10.2
108,서울,1933-05,16.3
108,서울,1933-06,20.7
108,서울,1933-07,25.5
108,서울,1933-08,24.1
108,서울,1933-09,20.1
108,서울,1933-10,13
108,서울,1933-11,5.5
108,서울,1933-12,.4
108,서울,1934-01,-8.3
108,서울,1934-02,-2.3
108,서울,1934-03,2
108,서울,1934-04,9.1
108,서울,1934-05,16.9
108,서울,1934-06,20.2
108,서울,1934-07,23.8
108,서울,1934-08,24.1
108,서울,1934-09,19.3
108,서울,1934-10,11.7
108,서울,1934-11,4.3
108,서울,1934-12,.8
108,서울,1935-01,-3.2
108,서울,1935-02,-.2
108,서울,1935-03,5.1
108,서울,1935-04,10.3
108,서울,1935-05,16
108,서울,1935-06,20.1
108,서울,1935-07,23.8
108,서울,1935-08,25
108,서울,1935-09,20.3
108,서울,1935-10,14.6
108,서울,1935-11,6.6
108,서울,1935-12,-3.9
108,서울,1936-01,-8.8
108,서울,1936-02,-4.4
108,서울,1936-03,-.2
108,서울,1936-04,9.1
108,서울,1936-05,15.8
108,서울,1936-06,20.7
108,서울,1936-07,23.6
108,서울,1936-08,22.7
108,서울,1936-09,20.1
108,서울,1936-10,13.2
108,서울,1936-11,5.7
108,서울,1936-12,-.5
108,서울,1937-01,-3.6
108,서울,1937-02,.1
108,서울,1937-03,3.6
108,서울,1937-04,10.6
108,서울,1937-05,15.8
108,서울,1937-06,21.6
108,서울,1937-07,24.6
108,서울,1937-08,26.7
108,서울,1937-09,20.3
108,서울,1937-10,13.8
108,서울,1937-11,7.2
108,서울,1937-12,-3.9
108,서울,1938-01,-6.3
108,서울,1938-02,-3.3
108,서울,1938-03,4.7
108,서울,1938-04,11.4
108,서울,1938-05,16.5
108,서울,1938-06,20
108,서울,1938-07,25.2
108,서울,1938-08,26.3
108,서울,1938-09,19.3
108,서울,1938-10,15
108,서울,1938-11,4.8
108,서울,1938-12,-2.3
108,서울,1939-01,-5.2
108,서울,1939-02,-2
108,서울,1939-03,4.1
108,서울,1939-04,11.6
108,서울,1939-05,15.7
108,서울,1939-06,20.8
108,서울,1939-07,27.6
108,서울,1939-08,27.5
108,서울,1939-09,21
108,서울,1939-10,14.3
108,서울,1939-11,5.9
108,서울,1939-12,-.9
108,서울,1940-01,-7.4
108,서울,1940-02,-2.3
108,서울,1940-03,3.7
108,서울,1940-04,9.7
108,서울,1940-05,16.3
108,서울,1940-06,20.1
108,서울,1940-07,23.4
108,서울,1940-08,24.3
108,서울,1940-09,19.9
108,서울,1940-10,14.7
108,서울,1940-11,6.8
108,서울,1940-12,-.2
108,서울,1941-01,-3.8
108,서울,1941-02,-2.4
108,서울,1941-03,3.8
108,서울,1941-04,10
108,서울,1941-05,16.7
108,서울,1941-06,21.2
108,서울,1941-07,23.7
108,서울,1941-08,23.8
108,서울,1941-09,19.7
108,서울,1941-10,12.9
108,서울,1941-11,7.7
108,서울,1941-12,.4
108,서울,1942-01,-6.4
108,서울,1942-02,-3.5
108,서울,1942-03,5.9
108,서울,1942-04,9.9
108,서울,1942-05,15.3
108,서울,1942-06,22
108,서울,1942-07,26
108,서울,1942-08,25.4
108,서울,1942-09,20
108,서울,1942-10,12.5
108,서울,1942-11,4.7
108,서울,1942-12,-1.2
108,서울,1943-01,-6.6
108,서울,1943-02,-2.4
108,서울,1943-03,5.4
108,서울,1943-04,10.6
108,서울,1943-05,16.7
108,서울,1943-06,21.5
108,서울,1943-07,26
108,서울,1943-08,27.8
108,서울,1943-09,20.9
108,서울,1943-10,13.8
108,서울,1943-11,6.1
108,서울,1943-12,0
108,서울,1944-01,-4.3
108,서울,1944-02,-2.4
108,서울,1944-03,3.2
108,서울,1944-04,9.6
108,서울,1944-05,15.9
108,서울,1944-06,21.4
108,서울,1944-07,25.3
108,서울,1944-08,25.5
108,서울,1944-09,20.7
108,서울,1944-10,13.5
108,서울,1944-11,7.8
108,서울,1944-12,-5.7
108,서울,1945-01,-7.8
108,서울,1945-02,-4.9
108,서울,1945-03,2.3
108,서울,1945-04,11
108,서울,1945-05,13.6
108,서울,1945-06,20.1
108,서울,1945-07,23.2
108,서울,1945-08,25.5
108,서울,1945-09,21.3
108,서울,1945-10,13.5
108,서울,1945-11,8.4
108,서울,1945-12,-1.7
108,서울,1946-01,-3.2
